,,Max FP64 eK diff = ,0.000352139,,Max FP32 eK diff = ,1.602667555,,,Max FP64 fK diff = ,0.000317625,,Max FP32 fK diff = ,1.524640625
,,Min FP64 eK diff = ,9.1108E-05,,Min FP32 eK diff = ,0.353028108,,,Min FP64 fK diff = ,0.000140765,,Min FP32 fK diff = ,0.000140765
,,,,,,,,,,,,,
,Serial eK,CUDA eK - FP64,eK abs Diff - FP64,,CUDA eK - FP32,eK Diff - FP32,,Serial fK,CUDA fK - FP64,fK abs Diff - FP64,,CUDA fK - FP32,fK abs Diff - FP32
Row#118,165198.9578,165198.958,0.000208814,,165199.8438,0.885936814,,131837.3823,131837.3821,0.000263328,,131836.1406,1.241706328
Row#119,162717.7564,162717.7566,0.00018624,,162718.5625,0.80610424,,118815.1464,118815.1461,0.000258669,,118813.9063,1.240126669
Row#120,164907.5356,164907.5358,0.000203434,,164908.4375,0.901862434,,132748.6227,132748.6224,0.000261621,,132747.3594,1.263293621
Row#121,165905.752,165905.7522,0.000217621,,165906.7344,0.982395621,,142067.4921,142067.4918,0.000263998,,142066.2344,1.257679998
Row#122,166722.7294,166722.7297,0.0002305,,166723.7656,1.0361925,,150149.4264,150149.4262,0.000264856,,150148.1563,1.270176856
Row#123,166584.9517,166584.9519,0.000228511,,166585.9844,1.032656511,,148900.3222,148900.322,0.00026432,,148899.0625,1.25974932
Row#124,163437.3882,163437.3884,0.000170087,,163438.1406,0.752388087,,110444.573,110444.5727,0.000258638,,110443.3203,1.252688638
Row#125,163768.0326,163768.0327,0.000171297,,163768.7813,0.748693297,,111587.1308,111587.1306,0.000259453,,111585.8672,1.263647453
Row#126,166221.8844,166221.8846,0.00022755,,166222.9063,1.02185055,,147974.9013,147974.9011,0.00026355,,147973.6406,1.26069755
Row#127,165372.0633,165372.0635,0.000205582,,165372.9688,0.905430582,,134084.1213,134084.121,0.000262841,,134082.8594,1.261904841
Row#128,165726.1807,165726.1809,0.000224091,,165727.1719,0.991201091,,145747.6508,145747.6505,0.000263009,,145746.3906,1.260171009
Row#129,164183.4187,164183.4188,0.000165439,,164184.1406,0.721956439,,107838.651,107838.6508,0.000260547,,107837.3828,1.268202547
Row#130,165305.3735,165305.3737,0.000214018,,165306.2813,0.907723018,,133715.9253,133715.9251,0.000264198,,133714.6719,1.253473198
Row#131,164853.9358,164853.936,0.000209418,,164854.8281,0.892295418,,130730.08,130730.0797,0.000263367,,130728.8281,1.251883367
Row#132,163833.1885,163833.1887,0.000197078,,163834.0313,0.842774078,,124956.1382,124956.138,0.000261497,,124954.8906,1.247593497
Row#133,164021.2159,164021.2161,0.000199598,,164022.0625,0.846609598,,126211.8263,126211.8261,0.000261368,,126210.5781,1.248188368
Row#134,162914.5605,162914.5607,0.000190287,,162915.375,0.814527287,,120986.3957,120986.3954,0.000260119,,120985.1484,1.247218119
Row#135,162603.5131,162603.5133,0.000186771,,162604.3125,0.799419771,,119119.1184,119119.1181,0.000258654,,119117.875,1.243392654
Row#136,166068.7042,166068.7044,0.000204956,,166069.6094,0.905163956,,133353.7839,133353.7836,0.000263595,,133352.5156,1.268277595
Row#137,162416.1149,162416.1151,0.00017103,,162416.8594,0.74446303,,111516.142,111516.1417,0.000257087,,111514.8906,1.251369087
Row#138,166197.9662,166197.9665,0.000204855,,166198.875,0.908751855,,134291.537,134291.5367,0.000263322,,134290.2656,1.271363322
Row#139,166272.9895,166272.9897,0.000206866,,166273.8906,0.901173866,,134576.3114,134576.3112,0.000264255,,134575.0313,1.280191255
Row#140,166228.9879,166228.9881,0.000206559,,166229.8906,0.902714559,,134384,134383.9998,0.000264367,,134382.7188,1.281281367
Row#141,133944.3539,133944.354,0.000119064,,133944.8594,0.505520064,,80429.91255,80429.91234,0.000212137,,80428.85938,1.053173137
Row#142,108787.8109,108787.811,0.000109955,,108788.2578,0.446913955,,75929.91463,75929.91446,0.000173244,,75929.03906,0.875568244
Row#143,89335.19133,89335.19142,9.40121E-05,,89335.54688,0.355548012,,66743.67859,66743.67845,0.000143971,,66742.92969,0.748904971
Row#144,87271.87179,87271.87189,9.31019E-05,,87272.22656,0.354770102,,65920.41335,65920.41321,0.000140765,,65919.67969,0.733658765
Row#145,134109.8649,134109.865,0.000116989,,134110.3594,0.494513989,,79166.32167,79166.32146,0.000212736,,79165.27344,1.048230736
Row#146,130454.9744,130454.9745,0.000119394,,130455.4766,0.502143394,,80384.17191,80384.17171,0.000207069,,80383.14844,1.023475069
Row#147,129977.8657,129977.8658,0.000118255,,129978.3672,0.501492255,,80027.6586,80027.65839,0.000206335,,80026.63281,1.025785335
Row#148,129721.325,129721.3251,0.000111455,,129721.7891,0.464088455,,75795.66971,75795.6695,0.000206324,,75794.64844,1.021268324
Row#149,129041.1087,129041.1088,0.000111867,,129041.5703,0.461578867,,75686.48023,75686.48003,0.000204776,,75685.46875,1.011480776
Row#150,130637.5197,130637.5198,0.000114108,,130637.9922,0.472467108,,77665.03807,77665.03786,0.000207332,,77664.01563,1.022446332
Row#151,131261.9914,131261.9915,0.000118059,,131262.4844,0.493004059,,79706.64324,79706.64303,0.000208091,,79705.60938,1.033860091
Row#152,127245.1338,127245.134,0.000111854,,127245.6016,0.467713854,,76227.76183,76227.76163,0.000202413,,76226.75781,1.004021413
Row#153,125967.2438,125967.2439,0.000104359,,125967.6797,0.435875359,,71437.7544,71437.75421,0.000199932,,71436.75781,0.996591932
Row#154,131402.7898,131402.7899,0.000116305,,131403.2656,0.475857305,,78588.41666,78588.41646,0.000208179,,78587.38281,1.033851179
Row#155,128773.4327,128773.4328,0.000108713,,128773.8828,0.450145713,,73719.45954,73719.45934,0.000204606,,73718.44531,1.014228606
Row#156,134589.6023,134589.6024,0.000115754,,134590.0938,0.491435754,,78708.56097,78708.56076,0.000213739,,78707.50781,1.053159739
Row#157,140112.1249,140112.125,0.000122037,,140112.6406,0.515710037,,82327.52312,82327.5229,0.00022258,,82326.42969,1.09343058
Row#158,124985.0032,124985.0033,0.000110287,,124985.4609,0.457786287,,75058.7635,75058.7633,0.00019847,,75057.77344,0.99005947
Row#159,123502.8138,123502.8139,0.00011232,,123503.2734,0.45961732,,76130.76995,76130.76976,0.000196017,,76129.78906,0.980891017
Row#160,119014.5298,119014.5299,0.000105018,,119014.9609,0.431159018,,72025.08203,72025.08184,0.000189558,,72024.13281,0.949218558
Row#161,118515.2457,118515.2458,0.000104841,,118515.6719,0.426224841,,71483.86689,71483.8667,0.00018818,,71482.92188,0.94501718
Row#162,118274.0376,118274.0377,0.000106802,,118274.4688,0.431188802,,73005.66517,73005.66498,0.000188533,,73004.72656,0.938606533
Row#163,118212.2014,118212.2015,0.000109483,,118212.6484,0.447001483,,74680.23284,74680.23265,0.000188083,,74679.28906,0.943775083
Row#164,123215.7229,123215.723,0.000114204,,123216.1953,0.472383204,,77863.28651,77863.28632,0.000196104,,77862.3125,0.974011104
Row#165,118291.5253,118291.5254,0.000112373,,118291.9844,0.459076373,,76856.6997,76856.69951,0.000188323,,76855.75781,0.941886323
Row#166,113592.2071,113592.2072,0.000111027,,113592.6563,0.449188027,,76108.76354,76108.76336,0.00018085,,76107.85156,0.91197385
Row#167,121518.6135,121518.6136,0.000119557,,121519.1094,0.495883557,,81068.94167,81068.94148,0.000193241,,81067.97656,0.965111241
Row#168,99105.56758,99105.56768,0.00010121,,99105.96875,0.40117121,,70697.82081,70697.82065,0.000158874,,70697.00781,0.812999874
Row#169,90430.4805,90430.4806,9.52183E-05,,90430.85156,0.371062218,,67163.07772,67163.07758,0.00014498,,67162.32031,0.75741198
Row#170,105647.009,105647.0091,0.000107383,,105647.4375,0.428527383,,74244.6303,74244.63013,0.000168414,,74243.77344,0.856858414
Row#171,118756.805,118756.8051,0.000120327,,118757.2969,0.491863327,,81995.92306,81995.92287,0.000188686,,81994.97656,0.946493686
Row#172,115010.0321,115010.0323,0.000115641,,115010.5078,0.475671641,,78765.93432,78765.93414,0.000182944,,78765.01563,0.918696944
Row#173,111281.7272,111281.7273,0.000112751,,111282.1875,0.460322751,,77217.00779,77217.00761,0.000177003,,77216.11719,0.890602003
Row#174,116237.3783,116237.3784,0.000116927,,116237.8672,0.488897927,,80137.98227,80137.98209,0.000184471,,80137.05469,0.927586471
Row#175,123528.4471,123528.4472,0.000126756,,123528.9766,0.529460756,,85998.31841,85998.31822,0.000196235,,85997.34375,0.974662235
Row#176,117956.6523,117956.6524,0.000116203,,117957.125,0.472670203,,79258.46611,79258.46592,0.000187844,,79257.52344,0.942667844
Row#177,118135.2507,118135.2508,0.000115367,,118135.7188,0.468099367,,78508.68204,78508.68185,0.000187977,,78507.74219,0.939848977
Row#178,124440.8078,124440.8079,0.000123251,,124441.3281,0.520358251,,83595.92202,83595.92182,0.000197717,,83594.94531,0.976704717
Row#179,103329.9125,103329.9126,0.000105692,,103330.3359,0.423422692,,73205.88542,73205.88526,0.00016481,,73205.04688,0.83854581
Row#180,119985.6079,119985.608,0.000106378,,119986.0469,0.438956378,,72661.09652,72661.09633,0.000190908,,72660.14063,0.955895908
Row#181,119374.0589,119374.059,0.000105331,,119374.4844,0.425508331,,72320.73484,72320.73465,0.000189455,,72319.78906,0.945773455
Row#182,114682.4847,114682.4848,9.9139E-05,,114682.8828,0.398099139,,68487.66111,68487.66093,0.000182412,,68486.74219,0.918922412
Row#183,117909.0463,117909.0464,0.000102873,,117909.4688,0.422419873,,70915.83548,70915.83529,0.000187703,,70914.89063,0.944850703
Row#184,114913.1279,114913.128,9.936E-05,,114913.5313,0.40336736,,68506.69506,68506.69488,0.000183194,,68505.77344,0.921625194
Row#185,118164.8429,118164.8431,0.000103213,,118165.2656,0.422677213,,70854.57773,70854.57754,0.000187416,,70853.63281,0.944916416
Row#186,122538.3989,122538.399,0.000107593,,122538.8438,0.444877593,,73598.81088,73598.81068,0.000195056,,73597.83594,0.974938056
Row#187,123293.4418,123293.4419,0.000109006,,123293.8828,0.441040006,,74727.85079,74727.85059,0.000196208,,74726.875,0.975787208
Row#188,166853.5998,166853.5999,0.000132569,,166854.1563,0.556467569,,85270.39353,85270.39327,0.000264471,,85269.09375,1.299780471
Row#189,168587.015,168587.0151,0.000126511,,168587.5313,0.516257511,,79330.21472,79330.21445,0.000267454,,79328.89844,1.316282454
Row#190,162552.9895,162552.9897,0.000144397,,162553.625,0.635465397,,96217.34511,96217.34485,0.000257412,,96216.08594,1.259167412
Row#191,160288.4392,160288.4394,0.000155938,,160289.1094,0.670135938,,101577.3412,101577.341,0.00025421,,101576.0938,1.24746121
Row#192,162890.6945,162890.6947,0.000158662,,162891.3906,0.696087662,,103074.5378,103074.5375,0.000258538,,103073.2734,1.264357538
Row#193,161203.7536,161203.7537,0.000147747,,161204.3906,0.637027747,,95864.41008,95864.40982,0.00025561,,95863.15625,1.25382961
